age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,label
1,8,0.04430189755640374,3,0.8,6,1,0,3,1,0.021740217402174022,0.0,0.3979591836734694,37,0
1,3,0.04823759525135491,3,0.8,4,14,3,3,1,0.0,0.0,0.12244897959183673,37,0
1,7,0.13811344589179717,0,0.5333333333333333,3,12,0,3,1,0.0,0.0,0.3979591836734694,37,0
1,7,0.15106830931391857,11,0.4,4,12,3,4,1,0.0,0.0,0.3979591836734694,37,0
0,7,0.22148843400660137,3,0.8,4,4,1,4,0,0.0,0.0,0.3979591836734694,18,0
1,7,0.18493160918759594,14,0.8666666666666667,4,14,1,3,0,0.0,0.0,0.3979591836734694,37,0
1,7,0.10044824167017563,9,0.26666666666666666,0,3,0,4,0,0.0,0.0,0.15306122448979592,14,0
1,3,0.1340358050012904,0,0.5333333333333333,4,14,3,3,1,0.0,0.0,0.4489795918367347,37,1
0,7,0.022748943915458904,14,0.8666666666666667,6,4,0,3,0,0.14084140841408413,0.0,0.5,37,1
1,7,0.0999470259844338,3,0.8,4,14,3,3,1,0.051780517805178054,0.0,0.3979591836734694,37,1
1,7,0.18213485282731828,1,0.6,4,14,3,4,1,0.0,0.0,0.8061224489795918,37,1
0,8,0.08761902174651254,3,0.8,4,4,3,2,1,0.0,0.0,0.3979591836734694,36,1
0,7,0.07469811602667717,3,0.8,6,1,2,3,0,0.0,0.0,0.29591836734693877,37,0
0,7,0.13089607584792382,10,0.7333333333333333,6,9,0,4,1,0.0,0.0,0.5,37,0
1,7,0.07435853900381685,8,0.6666666666666666,4,5,3,2,1,0.0,0.0,0.3979591836734694,38,1
0,7,0.15838008177014712,15,0.2,4,13,3,1,1,0.0,0.0,0.4489795918367347,23,0
0,3,0.11170114505372108,0,0.5333333333333333,6,10,2,3,1,0.0,0.0,0.3469387755102041,37,0
0,7,0.11853886798603659,0,0.5333333333333333,6,11,5,3,1,0.0,0.0,0.3979591836734694,37,0
1,7,0.011275315467054237,11,0.4,4,9,3,3,1,0.0,0.0,0.5,37,0
1,3,0.19008842585675284,14,0.8666666666666667,3,14,5,3,0,0.0,0.0,0.4489795918367347,37,1
1,7,0.12308920009236494,2,1.0,4,4,3,3,1,0.0,0.0,0.6020408163265306,37,1
2,7,0.19686027084663343,0,0.5333333333333333,1,3,5,4,0,0.0,0.0,0.19387755102040816,37,0
0,2,0.04384618519172519,9,0.26666666666666666,4,10,3,4,1,0.0,0.0,0.3979591836734694,37,0
1,7,0.07114274459732957,11,0.4,4,13,3,3,1,0.0,0.4687786960514233,0.3979591836734694,37,0
2,7,0.0656945708425585,0,0.5333333333333333,3,6,5,3,0,0.0,0.0,0.3979591836734694,37,0
2,6,0.13893182651689057,3,0.8,4,6,3,3,1,0.0,0.0,0.3979591836734694,37,1
0,7,0.10595414351883294,0,0.5333333333333333,6,5,2,3,1,0.0,0.0,0.3979591836734694,37,0
2,4,0.11404762228168593,1,0.6,4,7,3,2,1,0.0,0.0,0.6020408163265306,8,1
1,7,0.24108270737968787,0,0.5333333333333333,3,14,0,3,1,0.0,0.0,0.8061224489795918,37,0
1,7,0.12298189375314109,0,0.5333333333333333,4,5,3,3,1,0.0,0.0,0.3979591836734694,37,0
0,6,0.12117738145366132,10,0.7333333333333333,6,0,0,3,1,0.0,0.0,0.5204081632653061,37,0
0,7,0.17232175602070063,1,0.6,6,9,2,4,1,0.0,0.0,0.4387755102040816,37,0
1,7,0.2544484589994703,3,0.8,3,14,2,3,1,0.0,0.32323232323232326,0.3979591836734694,37,0
0,2,0.03237255674332052,1,0.6,4,1,2,3,1,0.0,0.0,0.3979591836734694,37,0
0,8,0.20322122763885306,1,0.6,4,3,3,4,1,0.0,0.0,0.14285714285714285,37,0
1,7,0.15628760815528178,11,0.4,6,11,5,3,1,0.0,0.0,0.3979591836734694,1,0
0,7,0.12558577036443405,1,0.6,6,11,2,3,1,0.0,0.0,0.3979591836734694,37,0
0,7,0.3611781964385162,0,0.5333333333333333,2,1,1,3,0,0.0,0.0,0.24489795918367346,37,0
0,7,0.04881012211189742,1,0.6,4,9,3,3,1,0.0,0.0,0.37755102040816324,38,1
1,3,0.1719563711441029,10,0.7333333333333333,4,4,3,3,1,0.0,0.0,0.3979591836734694,37,0
0,7,0.33658195351869713,9,0.26666666666666666,4,11,3,3,1,0.0,0.0,0.42857142857142855,37,0
1,3,0.05176580051887369,3,0.8,4,4,3,3,1,0.0,0.0,0.3979591836734694,37,0
0,7,0.10914141345539996,3,0.8,4,6,3,3,1,0.0,0.0,0.5,37,0
1,7,0.055930373127232716,0,0.5333333333333333,1,1,5,3,0,0.0,0.0,0.3979591836734694,37,0
0,7,0.188597682726396,0,0.5333333333333333,6,12,0,3,1,0.0,0.0,0.3469387755102041,37,0
2,2,0.22113934882710096,3,0.8,4,4,3,4,1,0.0,0.0,0.3979591836734694,37,1
1,7,0.08969994974260062,0,0.5333333333333333,4,11,3,3,1,0.0,0.0,0.37755102040816324,37,0
1,7,0.07882873093275017,14,0.8666666666666667,3,14,5,3,0,0.0,0.0,0.3979591836734694,37,0
1,8,0.06066068105567705,8,0.6666666666666666,4,5,3,3,1,0.0,0.0,0.3979591836734694,37,0
0,7,0.1760238247239239,8,0.6666666666666666,6,4,0,3,1,0.0,0.0,0.42857142857142855,37,0
0,7,0.0135762893739558,1,0.6,4,14,1,0,0,0.0,0.0,0.3979591836734694,37,0
0,7,0.14579467814889774,0,0.5333333333333333,6,3,2,3,0,0.0,0.0,0.29591836734693877,38,0
1,7,0.026860542508251723,7,0.9333333333333333,4,4,1,3,0,0.0,0.4366391184573003,0.6020408163265306,20,1
1,2,0.16252156314095162,3,0.8,3,14,0,3,1,0.0,0.0,0.5510204081632653,37,1
1,0,0.06624943969791228,0,0.5333333333333333,3,14,0,3,1,0.0,0.0,0.6020408163265306,37,0
1,7,0.15329050135151656,1,0.6,4,6,3,3,1,0.0,0.0,0.3979591836734694,37,1
1,7,0.13880618301843223,5,0.13333333333333333,4,11,3,3,1,0.0,0.0,0.3979591836734694,23,0
0,7,0.029928281332771898,8,0.6666666666666666,4,3,3,3,1,0.0,0.0,0.3979591836734694,1,0
1,7,0.0917448825742655,0,0.5333333333333333,4,1,3,3,1,0.0,0.0,0.47959183673469385,37,0
0,7,0.11943670963447929,0,0.5333333333333333,4,11,3,3,1,0.05013050130501305,0.0,0.3979591836734694,37,0
0,7,0.032063541652517624,3,0.8,4,9,3,3,1,0.024070240702407025,0.0,0.3979591836734694,37,0
